website,linkedin_name,specialties,linkedin_url
https://www.ap.org,The Associated Press,software,www.linkedin.com/company/204617
http://www.scotiabank.com,Scotiabank,technology investment,www.linkedin.com/company/3139
http://www.mufg.jp/english/ourbrand/index.html,MUFG,investment,www.linkedin.com/company/3795888
www.tcm.uk.com,TCM - The NonStop Experts,data,www.linkedin.com/company/149072
http://www.cense.iisc.ac.in,Centre for Nano Science and Engineering (CeNSE),technology,www.linkedin.com/company/6581977
www.bridgepoint.com.au,Bridge Point Communications,data,www.linkedin.com/company/256724
www.uklebhub.com,UK Lebanon Tech Hub,technology,www.linkedin.com/company/9391016
www.carbontrust.com,The Carbon Trust,technology,www.linkedin.com/company/21509
https://www.dextrousinfo.com/,Dextrous Infosolutions Pvt Ltd,software,www.linkedin.com/company/3315683
http://businessrockstars.com/,Business Rockstars,technology,www.linkedin.com/company/2857775
www.theexchangelab.com,The Exchange Lab,technology,www.linkedin.com/company/1915522
http://www.go-ahead.com/,The Go-Ahead Group plc,technology,www.linkedin.com/company/1416478
http://www.theinformationlab.co.uk,The Information Lab,data,www.linkedin.com/company/1326089
www.localdatacompany.com,The Local Data Company (LDC),data,www.linkedin.com/company/1387077
www.lcf.on.ca,London Community Foundation,investment,www.linkedin.com/company/2235001
www.oliversanderson.com,Oliver Sanderson Group PLC,technology,www.linkedin.com/company/2302729
www.npd.com,The NPD Group,software technology data,www.linkedin.com/company/166393
www.theodi.org,Open Data Institute,technology data,www.linkedin.com/company/2849191
www.pioneeracademy.org,Pioneer Academy,technology,www.linkedin.com/company/5215154
www.research-house.ca,Research House,data,www.linkedin.com/company/147893
www.rhn.org.uk,Royal Hospital for Neuro-disability,technology,www.linkedin.com/company/1513516
www.rubiconproject.com,Rubicon Project,technology,www.linkedin.com/company/87155
https://www.searchparty.com,Search Party Ltd,data,www.linkedin.com/company/2045430
www.tweed.nsw.gov.au,Tweed Shire Council,technology,www.linkedin.com/company/3153390
www.thesmartcube.com,The Smart Cube,data,www.linkedin.com/company/20615
http://www.tsiconsultancy.com/,The Social Investment Consultancy,investment,www.linkedin.com/company/2478284
www.clubtravelcorporate.co.za,Club Travel Corporate,technology,www.linkedin.com/company/80273
https://supplieshouse.co.uk/,The Supplies House,data,www.linkedin.com/company/22322262
www.brand-dynamics.com,Brand Dynamics Ltd,technology,www.linkedin.com/company/2253651
www.travelandtransport.com,"Travel and Transport, Inc.",technology,www.linkedin.com/company/24169
www.thevillageschool.com,The Village School,technology,www.linkedin.com/company/3699456
www.world-exchanges.org,World Federation of Exchanges,data,www.linkedin.com/company/1063037
www.thinkjam.com,Think Jam,data,www.linkedin.com/company/1167987
www.thirdrepublic.com,Third Republic - Recruitment solutions for advanced technologies,technology data cloud,www.linkedin.com/company/9243189
www.threepipe.co.uk,Threepipe,data,www.linkedin.com/company/313252
http://www.tibco.com,TIBCO Software Inc.,cloud,www.linkedin.com/company/3420
www.tibracareers.com,Tibra Capital,technology,www.linkedin.com/company/488712
www.tigerspike.com,Tigerspike,data,www.linkedin.com/company/108629
http://www.timeincuk.com,Time Inc. UK,technology,www.linkedin.com/company/6794
http://www.trainingdirectoryuk.com,UK Training Directory,data,www.linkedin.com/company/603090
https://www.esds.co.in,ESDS Software Solution Pvt Ltd.,cloud,www.linkedin.com/company/608895
tokencard.io,TokenCard,technology,www.linkedin.com/company/11208900
http://www.tomtom.com/careers,TomTom,software technology,www.linkedin.com/company/166474
https://www.toolsgroup.com,ToolsGroup,software,www.linkedin.com/company/32403
www.powercosts.com,"Power Costs, Inc. (PCI)",data,www.linkedin.com/company/70049
http://www.toucanventures.com,Toucan Ventures,investment,www.linkedin.com/company/5177044
www.towerstonepartners.com,Towerstone Partners Limited,technology,www.linkedin.com/company/3132349
https://www.nousinfosystems.com,Nous Infosystems,software,www.linkedin.com/company/4535
www.samsung.com,Samsung Electronics,technology,www.linkedin.com/company/1753
http://www.translateplus.com,translate plus,software,www.linkedin.com/company/205250
www.globalalpha.net,Global Alpha,investment,www.linkedin.com/company/2759035
http://www.dell.com,Dell,software cloud,www.linkedin.com/company/1093
www.bankleumi.co.uk,Bank Leumi UK plc,technology,www.linkedin.com/company/362804
http://www.hkbea.com,"The Bank of East Asia, Limited",investment,www.linkedin.com/company/38585
www.maltem.com,Maltem Consulting Group,data,www.linkedin.com/company/33832
http://www.banks-sadler.com/,Banks Sadler,technology,www.linkedin.com/company/73132
http://www.home.barclays,Barclays,investment,www.linkedin.com/company/1426
http://www.home.barclays,Barclays,investment,www.linkedin.com/company/1426
http://www.ibm.com,IBM,technology cloud,www.linkedin.com/company/1009
http://bcgdv.com,BCG Digital Ventures,data,www.linkedin.com/company/3590362
http://www.bearingpoint.com,BearingPoint,technology,www.linkedin.com/company/1349
benevolent.ai,BenevolentAI,data,www.linkedin.com/company/10929741
www.bginfotech.co.uk,BG Infotech Ltd,data,www.linkedin.com/company/3013353
www.bhdgsystematic.com,BH-DG Systematic Trading LLP,investment,www.linkedin.com/company/10412344
http://bickerdikeallen.com,Bickerdike Allen Partners LLP,technology,www.linkedin.com/company/15178144
http://www.texata.com/,Big Data Analytics World Championships (TEXATA),data,www.linkedin.com/company/3175539
www.bigsocietycapital.com,Big Society Capital,investment,www.linkedin.com/company/2789615
http://www.biotronics3d.com/,Biotronics3D,cloud,www.linkedin.com/company/208595
www.twobirds.com,Bird & Bird,technology data,www.linkedin.com/company/318488
www.blackswan.com,Black Swan Data,data,www.linkedin.com/company/2824836
www.block.co.uk,Block Solutions,data,www.linkedin.com/company/151857
bloomberg.com/company,Bloomberg LP,software data,www.linkedin.com/company/2494
www.bluesky.co.uk,Blue Sky Hosting Ltd,cloud,www.linkedin.com/company/151416
www.bluefieldllp.com,Bluefield Partners LLP,investment,www.linkedin.com/company/1213976
http://bluesource.net/au,bluesource Australia,technology data,www.linkedin.com/company/10573728
www.bmlltech.com,BMLL Technologies Ltd,data,www.linkedin.com/company/5274132
http://www.boldworldwide.com,BOLD Worldwide,data,www.linkedin.com/company/2331944
www.bondstreetgroup.com,"Bond Street Group, LLC",technology,www.linkedin.com/company/276966
http://www.bondradar.com,Bond Radar Ltd,data,www.linkedin.com/company/9457320
http://www.bookingbug.com/,BookingBug,software,www.linkedin.com/company/965250
http://www.borngroup.com,Born Group,technology software cloud,www.linkedin.com/company/25962
www.borwood.com,Borwood Group,cloud,www.linkedin.com/company/513506
www.boxbergcapital.com,BOXBERG CAPITAL LIMITED,investment,www.linkedin.com/company/21737407
www.boxfusionconsulting.com,Boxfusion Consulting Limited,cloud,www.linkedin.com/company/1505088
https://careers.dwp.gov.uk/bpdts/,BPDTS LIMITED,software,www.linkedin.com/company/21139650
http://www.bpptechnologiesllc.com,BPP Technologies LLC,data,www.linkedin.com/company/2371612
www.brainloop.com,Brainloop,data,www.linkedin.com/company/51023
https://www.braze.com/,Braze (formerly Appboy),software,www.linkedin.com/company/792882
www.bridgebank.com,Bridge Bank,technology,www.linkedin.com/company/162785
https://www.tripleplay.tv,Tripleplay,technology,www.linkedin.com/company/108576
www.trowers.com,Trowers & Hamlins,technology,www.linkedin.com/company/21122
https://www.trustpilot.com/,Trustpilot,software,www.linkedin.com/company/862573
