linkedin_url,linkedin_name,website,specialties
www.linkedin.com/company/492926,RapidMiner,http://www.rapidminer.com,data
www.linkedin.com/company/35406,Rathbone Brothers Plc,https://www.rathbones.com,investment
www.linkedin.com/company/28659117,"Raymond James, Weald of Kent",http://raymondjameskent.co.uk,investment
www.linkedin.com/company/229570,rcm2 limited,http://www.rcm2.co.uk,software
www.linkedin.com/company/5389902,Reactive Technologies Limited,www.reactive-technologies.com,cloud data
www.linkedin.com/company/2428886,RecWorks Ltd,www.recworks.co.uk,software
www.linkedin.com/company/15014,RED - The Global SAP Solutions Provider,http://www.redsapsolutions.com,cloud
www.linkedin.com/company/106917,RED Interactive Agency,www.FF0000.com,data
www.linkedin.com/company/1095185,Red Ribbon Asset Management Plc,www.redribbon.co,investment
www.linkedin.com/company/21889,Red Ventures,www.redventures.com,data technology
www.linkedin.com/company/298279,RedCloud Technologies,www.redcloudtechnology.com,cloud technology
www.linkedin.com/company/2710948,redT energy plc,www.redtenergy.com,technology
www.linkedin.com/company/85085,Reformis,www.reformis.com,investment
www.linkedin.com/company/2116607,Regency Mines Plc,http://www.regency-mines.com/,investment
www.linkedin.com/company/678294,"Reliable Networks, a Division of OTT Communications",http://www.reliablenetworks.com,cloud technology
www.linkedin.com/company/685254,Renewable Energy Association,www.r-e-a.net,technology
www.linkedin.com/company/165712,Research Now SSI,http://www.researchnow.com/,data technology
www.linkedin.com/company/165712,Research Now SSI,http://www.researchnow.com/,data technology
www.linkedin.com/company/165712,Research Now SSI,http://www.researchnow.com/,data technology
www.linkedin.com/company/1230090,Resolve Tech Solutions,http://www.resolvetech.com,cloud data
www.linkedin.com/company/448917,The London Waste and Recycling Board (LWARB),www.lwarb.gov.uk,investment
www.linkedin.com/company/11692962,VIA Solutions Group,www.viasolutionsgroup.com,cloud data technology
www.linkedin.com/company/3028443,Retail Marketing International,https://rmi.co,software
www.linkedin.com/company/2440831,Rasini Fairway Capital,www.rasinifairway.com,investment
www.linkedin.com/company/2802900,Richmond Gatehouse LLP,www.richmondgatehouse.com,cloud
www.linkedin.com/company/9999020,Ridgeford,http://www.ridgeford.com/,investment
www.linkedin.com/company/483625,Risk Control Limited,www.riskcontrollimited.com,software
www.linkedin.com/company/11888,Management Solutions,http://www.managementsolutions.com/,data
www.linkedin.com/company/876290,RiskIQ,www.riskiq.com,software
www.linkedin.com/company/429085,RITEQ Pty Ltd,www.riteq.com.au,software
www.linkedin.com/company/1926513,River Landing Shops and Residences,www.riverlandingmiami.com,investment
www.linkedin.com/company/968237,RiverSafe Limited,www.riversafe.co.uk,cloud data
www.linkedin.com/company/16046,Riyad Bank,http://www.riyadbank.com/,investment
