linkedin_url,specialties,website,linkedin_name
www.linkedin.com/company/8826,data,http://www.ignitionone.com,IgnitionOne
www.linkedin.com/company/13310059,investment,http://www.igrglobal.com/,IGR Global
www.linkedin.com/company/10452835,software,www.imaging.market,Imaging.market
www.linkedin.com/company/5296194,technology software,http://www.immersivedesignstudios.com/en,IMMERSIVE Design Studios
www.linkedin.com/company/1351561,investment,www.impactinvestmentpartners.com,Impact Investment Partners LLP
www.linkedin.com/company/17373,technology,www.imsgroup.com,IMS Group
www.linkedin.com/company/30265,investment,www.indusind.com,IndusInd Bank
www.linkedin.com/company/2669553,data,www.infogr8.com,infogr8
www.linkedin.com/company/884370,data,www.infopro-digital.com,Infopro Digital
www.linkedin.com/company/621454,data,www.barbour-abi.com,Barbour ABI
www.linkedin.com/company/52254,software,http://www.infuse.it,Infuse Consulting Limited
www.linkedin.com/company/281246,cloud,www.gagenetworks.com,Gage Networks
www.linkedin.com/company/3001287,cloud,www.innogentech.com,Innogen Technologies Limited
www.linkedin.com/company/11641765,investment,http://innvotec.co.uk,Innvotec Limited
www.linkedin.com/company/1242926,data,www.inspiratia.com,inspiratia
www.linkedin.com/company/1791855,data,http://www.marketprizm.com,MarketPrizm Ltd
www.linkedin.com/company/582024,data,www.integralads.com,Integral Ad Science
www.linkedin.com/company/1003933,technology,www.imsfastpak.com,"Integrated Merchandising Systems, LLC"
www.linkedin.com/company/1504566,technology software,www.msrlimited.com,MSR IT Ltd.
www.linkedin.com/company/1839744,technology,http://www.spcsft.com/,Space Shift Inc.
www.linkedin.com/company/9436412,cloud,www.inter-consulting.eu.com,Inter-Consulting Europe (UK) Ltd
www.linkedin.com/company/25011710,technology,http://www.intergreat.com/,InterGreat Education Group Ltd.
www.linkedin.com/company/166426,data,http://www.worldbank.org,The World Bank
www.linkedin.com/company/82512,investment,www.goimr.com,International Market Recruiters
www.linkedin.com/company/2685202,investment,www.ifssecurities.com,IFS Securities
www.linkedin.com/company/7994,data software,https://www.intralinks.com/,Intralinks
www.linkedin.com/company/1666,cloud,http://www.intuit.com/,Intuit
www.linkedin.com/company/3691037,investment,www.invescoperpetual.co.uk,Invesco Perpetual
www.linkedin.com/company/4482,investment,www.investecassetmanagement.com,Investec Asset Management
www.linkedin.com/company/5538859,investment,https://www.investec.com/en_hk/welcome-to-investec.html,Investec Capital Asia Limited
www.linkedin.com/company/31172,data,www.investigo.co.uk,Investigo
www.linkedin.com/company/5225790,software,http://ioet.com/,ioet Inc.
www.linkedin.com/company/2573068,investment,www.ionacapital.co.uk,Iona Capital Ltd
www.linkedin.com/company/2601226,technology,www.crescensinc.com,Crescens Inc.
www.linkedin.com/company/405720,technology software,www.iris.net,iRiS Software Systems Ltd
www.linkedin.com/company/10953558,technology,issufy.com,Issufy
www.linkedin.com/company/1080673,data,www.istorage-uk.com,iStorage Limited
www.linkedin.com/company/39088,cloud,https://www.itlab.com,IT Lab
www.linkedin.com/company/330023,cloud,http://www.itcsecure.com/,ITC Secure
www.linkedin.com/company/1459421,cloud data,http://www.itelligencegroup.com/uk,itelligence Business Solutions UK LTD
www.linkedin.com/company/1093138,data software,www.itmlimited.com,ITM Limited
www.linkedin.com/company/52335,data,www.itrsgroup.com,ITRS Group
www.linkedin.com/company/889129,investment,www.jsafrasarasin.com,Bank J. Safra Sarasin Ltd
www.linkedin.com/company/13699091,technology,www.jaeger-partners.com,Jaeger Partners 
www.linkedin.com/company/2785997,investment,http://www.sslinvest.com/,Stocks & Securities Ltd (SSL Jamaica)
www.linkedin.com/company/2483441,data,http://www.jampp.com,Jampp
www.linkedin.com/company/5248720,technology,www.jandersdean.com,Janders Dean
