linkedin_url,specialties,website,linkedin_name
www.linkedin.com/company/37358,data,https://www.eipa.eu/,European Institute of Public Administration (EIPA)
www.linkedin.com/company/3221343,technology,www.cahootsy.com,Cahootsy
www.linkedin.com/company/519296,cloud data,http://everycity.co.uk,EveryCity
www.linkedin.com/company/565406,data,www.exchange-data.com,Exchange Data International
www.linkedin.com/company/781149,technology,http://www.expandresearch.com,Expand Research - A Company of The Boston Consulting Group
www.linkedin.com/company/2751,data technology,www.lifeatexpedia.com,Expedia Group
www.linkedin.com/company/29666,cloud data,http://www.exponential-e.com,Exponential-e
www.linkedin.com/company/6403,technology software,www.exus.co.uk,EXUS
www.linkedin.com/company/572175,technology,www.eye-dcreative.co.uk,Eye-D Creative
www.linkedin.com/company/12508,cloud technology,www.eci.com,Eze Castle Integration
www.linkedin.com/company/2199024,data,http://www.fosi.org/,Family Online Safety Institute
www.linkedin.com/company/572317,investment,www.farebrother.com,Farebrother
www.linkedin.com/company/6794,technology,http://www.timeincuk.com,Time Inc. UK
www.linkedin.com/company/5100703,investment,www.rjwealthmanager.co.uk,Raymond James Investment Services (Hitchin)
www.linkedin.com/company/10611465,investment,http://www.fiettalaw.com/,Fietta LLP
www.linkedin.com/company/3012,investment,http://www.53.com,Fifth Third Bank
www.linkedin.com/company/2479728,data,www.fdmplc.com,Financial Data Management Plc
www.linkedin.com/company/2321322,data software,www.fincore.com,Fincore Group
www.linkedin.com/company/21762,investment,https://www.investni.com,Invest Northern Ireland
www.linkedin.com/company/912377,investment,www.finncap.com,finnCap Ltd
www.linkedin.com/company/1217,technology,http://www.vodafone.com/,Vodafone
www.linkedin.com/company/2592500,software,https://www.1sthcc.com,First Healthcare Compliance
www.linkedin.com/company/5632,investment,http://www.kotak.com,Kotak Mahindra Bank
www.linkedin.com/company/55002,investment,www.fcmb.com,First City Monument Bank Limited
www.linkedin.com/company/243914,data,www.firstsource.com,Firstsource
www.linkedin.com/company/3746867,investment,https://www.fisherinvestments.com/en-gb,Fisher Investments Europe
www.linkedin.com/company/1347603,cloud technology data,www.fluent2.co.uk,Fluent2 Limited
www.linkedin.com/company/2223882,technology,http://fluxx.uk.com,Fluxx
www.linkedin.com/company/840622,software,www.foodalert.com,Food Alert
www.linkedin.com/company/116187,data,www.forensicrisk.com,Forensic Risk Alliance
www.linkedin.com/company/2419839,investment,www.forest-group.co.uk,Forest Group
www.linkedin.com/company/530178,investment,www.cma.or.ke,Capital Markets Authority- Kenya
www.linkedin.com/company/933596,data,www.forward3d.com,Forward3D
www.linkedin.com/company/10668,technology investment,www.fragomen.com,Fragomen
www.linkedin.com/company/4743,data software,www.framestore.com,Framestore
www.linkedin.com/company/10879644,data investment software,www.frameworksoftware.com,Framework Private Equity Investment Data Management Ltd
www.linkedin.com/company/727096,investment,http://tradeandinvestment.vic.gov.au,Trade and Investment Victoria
www.linkedin.com/company/31121,technology,https://www.freedmaninternational.com,Freedman International
www.linkedin.com/company/374459,data,http://www.bprgroup.co.uk/,BPR Group Europe Ltd
www.linkedin.com/company/5509,technology,http://www.fticonsulting.com,FTI Consulting
www.linkedin.com/company/1935818,technology,http://fueled.com,Fueled
www.linkedin.com/company/527693,data,http://www.fusepump.com,FusePump
www.linkedin.com/company/3279423,data,https://futurecities.catapult.org.uk/,Future Cities Catapult
www.linkedin.com/company/263689,data,www.futurefacilities.com,Future Facilities Ltd
www.linkedin.com/company/958037,software,www.CoNet.nl,CoNet
