linkedin_name,website,linkedin_url,specialties
The Information Lab,http://www.theinformationlab.co.uk,www.linkedin.com/company/1326089,data
The Local Data Company (LDC),www.localdatacompany.com,www.linkedin.com/company/1387077,data
London Community Foundation,www.lcf.on.ca,www.linkedin.com/company/2235001,investment
Oliver Sanderson Group PLC,www.oliversanderson.com,www.linkedin.com/company/2302729,technology
The NPD Group,www.npd.com,www.linkedin.com/company/166393,software technology data
Open Data Institute,www.theodi.org,www.linkedin.com/company/2849191,technology data
Pioneer Academy,www.pioneeracademy.org,www.linkedin.com/company/5215154,technology
Research House,www.research-house.ca,www.linkedin.com/company/147893,data
Royal Hospital for Neuro-disability,www.rhn.org.uk,www.linkedin.com/company/1513516,technology
Rubicon Project,www.rubiconproject.com,www.linkedin.com/company/87155,technology
Search Party Ltd,https://www.searchparty.com,www.linkedin.com/company/2045430,data
Tweed Shire Council,www.tweed.nsw.gov.au,www.linkedin.com/company/3153390,technology
The Smart Cube,www.thesmartcube.com,www.linkedin.com/company/20615,data
The Social Investment Consultancy,http://www.tsiconsultancy.com/,www.linkedin.com/company/2478284,investment
Club Travel Corporate,www.clubtravelcorporate.co.za,www.linkedin.com/company/80273,technology
The Supplies House,https://supplieshouse.co.uk/,www.linkedin.com/company/22322262,data
Brand Dynamics Ltd,www.brand-dynamics.com,www.linkedin.com/company/2253651,technology
"Travel and Transport, Inc.",www.travelandtransport.com,www.linkedin.com/company/24169,technology
The Village School,www.thevillageschool.com,www.linkedin.com/company/3699456,technology
World Federation of Exchanges,www.world-exchanges.org,www.linkedin.com/company/1063037,data
Think Jam,www.thinkjam.com,www.linkedin.com/company/1167987,data
Third Republic - Recruitment solutions for advanced technologies,www.thirdrepublic.com,www.linkedin.com/company/9243189,technology data cloud
Threepipe,www.threepipe.co.uk,www.linkedin.com/company/313252,data
TIBCO Software Inc.,http://www.tibco.com,www.linkedin.com/company/3420,cloud
Tibra Capital,www.tibracareers.com,www.linkedin.com/company/488712,technology
Tigerspike,www.tigerspike.com,www.linkedin.com/company/108629,data
Time Inc. UK,http://www.timeincuk.com,www.linkedin.com/company/6794,technology
UK Training Directory,http://www.trainingdirectoryuk.com,www.linkedin.com/company/603090,data
ESDS Software Solution Pvt Ltd.,https://www.esds.co.in,www.linkedin.com/company/608895,cloud
TokenCard,tokencard.io,www.linkedin.com/company/11208900,technology
TomTom,http://www.tomtom.com/careers,www.linkedin.com/company/166474,software technology
ToolsGroup,https://www.toolsgroup.com,www.linkedin.com/company/32403,software
"Power Costs, Inc. (PCI)",www.powercosts.com,www.linkedin.com/company/70049,data
Toucan Ventures,http://www.toucanventures.com,www.linkedin.com/company/5177044,investment
Towerstone Partners Limited,www.towerstonepartners.com,www.linkedin.com/company/3132349,technology
Nous Infosystems,https://www.nousinfosystems.com,www.linkedin.com/company/4535,software
Samsung Electronics,www.samsung.com,www.linkedin.com/company/1753,technology
translate plus,http://www.translateplus.com,www.linkedin.com/company/205250,software
Global Alpha,www.globalalpha.net,www.linkedin.com/company/2759035,investment
Dell,http://www.dell.com,www.linkedin.com/company/1093,software cloud
