linkedin_name,website,linkedin_url,specialties
Smith & Williamson,www.smithandwilliamson.com,www.linkedin.com/company/18322,investment
Social Finance,http://www.socialfinance.org.uk/,www.linkedin.com/company/1228006,investment
F11 Agency,http://www.f11agency.com,www.linkedin.com/company/2364366,technology cloud
Société Générale,https://www.societegenerale.com,www.linkedin.com/company/1691,investment
Society of Petroleum Engineers International,www.spe.org,www.linkedin.com/company/23356,technology
London Consulting Group,www.londoncg.com,www.linkedin.com/company/20696,software
Sogeti,http://www.sogeti.com,www.linkedin.com/company/1956,cloud
Somo Global,www.somoglobal.com,www.linkedin.com/company/884658,technology
Guerrilla Games,http://www.guerrilla-games.com,www.linkedin.com/company/13261,technology
50/50 GLOBAL MUZIK INCORPORATED,www.5050globalmuzik.com,www.linkedin.com/company/2272410,technology
SPARKL Limited,www.sparkl.com,www.linkedin.com/company/2485403,software technology
Sporting Records Online Ltd,http://www.sportingrecords.co.uk,www.linkedin.com/company/18649087,data
Spredfast,www.spredfast.com,www.linkedin.com/company/1200502,data
Sprout Technologies Ltd (SproutIT) ,www.sproutit.co.uk,www.linkedin.com/company/2178175,data
St Ives plc,www.st-ives.co.uk,www.linkedin.com/company/712129,data
StableLogic,www.stablelogic.com,www.linkedin.com/company/10503227,technology
Devon Energy,www.devonenergy.com,www.linkedin.com/company/6848,technology data
Stanhope Capital,www.stanhopecapital.com,www.linkedin.com/company/128668,investment
Statista,http://www.statista.com,www.linkedin.com/company/1042846,data
Steer,http://www.steergroup.com,www.linkedin.com/company/20840,technology
Stellarise Limited,www.stellarise.com,www.linkedin.com/company/753729,cloud
Sterlite Technologies Limited,http://www.sterlitetech.com,www.linkedin.com/company/77850,software data
Stifel Financial Corp.,http://www.stifel.com/social,www.linkedin.com/company/10194,investment
Stonehage Fleming,www.stonehagefleming.com,www.linkedin.com/company/123111,investment
Stott and May,www.stottandmay.com,www.linkedin.com/company/589574,software cloud
Prudential Global Services Private Limited,www.prudential.co.uk,www.linkedin.com/company/11219493,technology
STRONG ABOGADOS,www.strongabogados.com,www.linkedin.com/company/245111,investment
Bennett (Construction) Ltd,www.bennettconstruction.com,www.linkedin.com/company/1804641,data
