linkedin_url,specialties,website,linkedin_name
www.linkedin.com/company/2791617,technology,http://wearefuturegov.com,FutureGov
www.linkedin.com/company/95446,data,www.testo.com,Testo SE & Co. KGaA
www.linkedin.com/company/1118520,investment,www.gatehousebank.com,Gatehouse Bank plc
www.linkedin.com/company/2086357,investment,www.gatemore.com,Gatemore Capital Management
www.linkedin.com/company/3125253,cloud data,www.marimba.us,Gazelle Consulting Partners
www.linkedin.com/company/10447368,investment,www.gbiconsulting.com,GBI Consulting Limited
www.linkedin.com/company/18164495,data,http://ga.co,General Assembly Sydney
www.linkedin.com/company/2385490,investment,www.GenesisCapital.com,Genesis Capital LLC
www.linkedin.com/company/166247,data,www.gentrack.com,Gentrack Ltd (Global)
www.linkedin.com/company/2233805,data,http://www.geoplace.co.uk,GeoPlace LLP
www.linkedin.com/company/63702,investment,www.geraldeve.com,Gerald Eve
www.linkedin.com/company/163983,investment,GLG.it,GLG (Gerson Lehrman Group)
www.linkedin.com/company/4371,data,http://www.gfk.com,GfK
www.linkedin.com/company/5248457,investment,www.ghocapital.com,GHO Capital Partners LLP
www.linkedin.com/company/763750,investment,www.lseemf.com,LSE Emerging Markets Forum
www.linkedin.com/company/763750,investment,www.lseemf.com,LSE Emerging Markets Forum
www.linkedin.com/company/1523087,cloud,www.giotech.co.uk,Giotech Outsourced IT
www.linkedin.com/company/12064,technology,www.glazers.com,Glazer's Distributors
www.linkedin.com/company/2471440,investment,www.globalbanking.ac.uk,Global Banking School
www.linkedin.com/company/337828,investment,http://www.lsbf.org.uk/,London School of Business and Finance LSBF
www.linkedin.com/company/628716,software,http://www.globebmg.com,Globe Business Media Group
www.linkedin.com/company/2501837,data,www.globalpharmatek.com,Global Pharma Tek
www.linkedin.com/company/145741,cloud,www.market-xcel.com,Market Xcel Data Matrix Pvt. Ltd.
www.linkedin.com/company/8927,investment,http://www.archon.com,Archon Group
www.linkedin.com/company/2085972,technology,www.goodboydigital.com,Goodboy Digital
www.linkedin.com/company/5374347,software,www.goodlord.co,Goodlord
www.linkedin.com/company/116312,technology,www.gordondadds.com,Gordon Dadds
www.linkedin.com/company/12052,software,http://www.vocus.com,Vocus
www.linkedin.com/company/1872564,software,https://www.granttree.co.uk,GrantTree
www.linkedin.com/company/649685,data,http://www.greenmangaming.com,Green Man Gaming
www.linkedin.com/company/21839051,investment,,Longland Resources Ltd
www.linkedin.com/company/933395,investment,http://www.greycoat.co.uk,Greycoat Real Estate LLP
www.linkedin.com/company/829364,data technology investment,http://greyspark.com/,GreySpark Partners
www.linkedin.com/company/11113,investment,http://www.grosvenor.com,Grosvenor Group
www.linkedin.com/company/5263951,data,www.grouptree.com,Grouptree
www.linkedin.com/company/24972620,technology,http://www.ideafinancial.com,Idea Financial
www.linkedin.com/company/521571,data,www.gs1uk.org,GS1 UK
www.linkedin.com/company/371369,data software,www.gsc-3d.com,GSC
www.linkedin.com/company/19634,investment,http://www.gib.com,Gulf International Bank
