linkedin_name,website,linkedin_url,specialties
Support.com,http://www.support.com,www.linkedin.com/company/404295,software technology
Helix International Group,www.helix-ig.com,www.linkedin.com/company/743472,software
Handelsbanken Wealth Management,http://www.handelsbankenwealth.co.uk/,www.linkedin.com/company/15194981,investment
Swiss Advantage Systems (Pvt) Ltd,www.swissadvantage.net,www.linkedin.com/company/3772076,software
Symphony Ventures,www.symphonyhq.com,www.linkedin.com/company/5297352,software
Synechron,http://www.synechron.com,www.linkedin.com/company/15506,technology
Syntax,www.syntax.com,www.linkedin.com/company/57010,software cloud
SYZYGY,syzygy.net,www.linkedin.com/company/166236,technology
Talentia Software,http://www.talentia-software.com,www.linkedin.com/company/594049,software
TAM Asset Management Ltd,www.tamassetmanagement.com,www.linkedin.com/company/1550026,investment
Tanager Wealth Management LLP,http://www.tanagerwealth.com/,www.linkedin.com/company/2787678,investment
Tangent Collective,tangentcollective.com,www.linkedin.com/company/18399244,software investment
Tata Group - Europe,europe.tata.com,www.linkedin.com/company/1740527,technology
Tata Interactive Systems,www.tatainteractive.com,www.linkedin.com/company/166261,software
Tata Tele Business Services,https://www.tatateleservices.com,www.linkedin.com/company/3879,data
Taylor-DeJongh,www.taylor-dejongh.com,www.linkedin.com/company/56798,investment
CMC LTD,www.cmcltd.com,www.linkedin.com/company/217495,software
Teacher Stern LLP,www.teacherstern.com,www.linkedin.com/company/505190,technology
Teads.tv,http://teads.tv/en/careers/,www.linkedin.com/company/2691523,technology data
Teavaro Limited,http://www.teavaro.com,www.linkedin.com/company/10061895,data
Technicolor,http://immersive.technicolor.com,www.linkedin.com/company/1141,technology
Ten Lifestyle Group,www.tengroup.com,www.linkedin.com/company/122659,technology
Tern PLC,www.ternplc.com,www.linkedin.com/company/11037288,technology investment
Group DEKKO,www.dekko.com,www.linkedin.com/company/854707,data
Texuna Technologies,www.texuna.com,www.linkedin.com/company/95439,software technology data cloud
TDC Companies,www.tdccompanies.com,www.linkedin.com/company/1789209,investment
London & Partners,www.londonandpartners.com,www.linkedin.com/company/2079889,investment
Aspire Lifestyles,http://www.aspirelifestyles.com/,www.linkedin.com/company/5026577,technology
The App Business (TAB),www.theappbusiness.com,www.linkedin.com/company/693145,technology
The Associated Press,https://www.ap.org,www.linkedin.com/company/204617,software
Scotiabank,http://www.scotiabank.com,www.linkedin.com/company/3139,technology investment
MUFG,http://www.mufg.jp/english/ourbrand/index.html,www.linkedin.com/company/3795888,investment
TCM - The NonStop Experts,www.tcm.uk.com,www.linkedin.com/company/149072,data
Centre for Nano Science and Engineering (CeNSE),http://www.cense.iisc.ac.in,www.linkedin.com/company/6581977,technology
Bridge Point Communications,www.bridgepoint.com.au,www.linkedin.com/company/256724,data
UK Lebanon Tech Hub,www.uklebhub.com,www.linkedin.com/company/9391016,technology
The Carbon Trust,www.carbontrust.com,www.linkedin.com/company/21509,technology
Dextrous Infosolutions Pvt Ltd,https://www.dextrousinfo.com/,www.linkedin.com/company/3315683,software
Business Rockstars,http://businessrockstars.com/,www.linkedin.com/company/2857775,technology
The Exchange Lab,www.theexchangelab.com,www.linkedin.com/company/1915522,technology
The Go-Ahead Group plc,http://www.go-ahead.com/,www.linkedin.com/company/1416478,technology
